name,puan,fiyat,uzaklık
Ottoman Elegance Hotel,7.0,₺1.610,Kadıköy 9.8 km uzaklıkta
The Biancho Pera,6.6,₺2.301,Kadıköy 10.7 km uzaklıkta
Galata Grace,7.0,₺2.445,Kadıköy 10.8 km uzaklıkta
Selanikli Heybeliada,8.2,₺957,Kadıköy 11.5 km uzaklıkta
Skalion & Spa,8.0,₺1.700,Kadıköy 10.2 km uzaklıkta
Hotel Istanbul Dora,6.6,₺1.827,Kadıköy 11.0 km uzaklıkta
Won Plaza Otel,7.1,₺1.216,Kadıköy 11.1 km uzaklıkta
Kent,8.3,₺2.468,Kadıköy 10.7 km uzaklıkta
Eyfel,6.8,₺2.493,Kadıköy 11.0 km uzaklıkta
Meridiani Taksim Hotel,7.8,₺1.208,Kadıköy 11.1 km uzaklıkta
Morava Hotel,9.3,₺2.741,Kadıköy 10.3 km uzaklıkta
K Suites,6.2,₺2.733,Kadıköy 12.5 km uzaklıkta
The Grand Mira,8.4,₺2.284,Kadıköy 13.2 km uzaklıkta
My Home Sultanahmet,6.6,₺1.425,Kadıköy 9.9 km uzaklıkta
On Suite,6.9,₺1.753,Kadıköy 10.3 km uzaklıkta
Grand Ant Hotel,7.5,₺1.369,Kadıköy 11.2 km uzaklıkta
Meretto Laleli,8.9,₺2.989,Kadıköy 11.2 km uzaklıkta
Beethoven Senfoni Hotel,7.4,₺3.329,Kadıköy 11.1 km uzaklıkta
Istanbul My Assos Hotel,5.8,₺1.479,Kadıköy 10.4 km uzaklıkta
Mr Beyaz Butik Otel,8.1,₺3.028,Kadıköy 11.4 km uzaklıkta
Demiray Hotel,8.8,₺2.520,Kadıköy 9.9 km uzaklıkta
Elan,7.7,₺1.572,Kadıköy 10.7 km uzaklıkta
Taksim Maxwell,7.2,₺2.053,Kadıköy 10.6 km uzaklıkta
Kartal Palace Taksim Square,7.5,₺2.481,Kadıköy 10.5 km uzaklıkta
Pera Luna Residence,8.9,₺2.415,Kadıköy 10.5 km uzaklıkta
Goldensand Hotel,8.4,₺1.661,Kadıköy 10.2 km uzaklıkta
Kecik,6.6,₺1.216,Kadıköy 11.0 km uzaklıkta
Semsan,7.8,₺3.156,Kadıköy 10.9 km uzaklıkta
Fragments Hotel,9.0,₺2.037,Kadıköy 10.0 km uzaklıkta
Zurich Hotel,7.2,₺3.971,Kadıköy 11.0 km uzaklıkta
Borancik Suites,7.8,₺886,Kadıköy 10.6 km uzaklıkta
The Green Park Taksim,6.8,₺1.898,Kadıköy 10.6 km uzaklıkta
Harmony Hostel,8.8,₺4.638,Kadıköy 9.6 km uzaklıkta
Sabra Residence,7.1,₺1.988,Kadıköy 10.5 km uzaklıkta
Redamancy Hotel,4.3,₺1.185,Kadıköy 9.6 km uzaklıkta
Santefe,8.0,₺1.288,Kadıköy 10.3 km uzaklıkta
Hutsuite,7.2,₺998,Kadıköy 10.4 km uzaklıkta
Padova,7.1,₺1.675,Kadıköy 10.2 km uzaklıkta
Nex Hotel Istanbul City Center,9.8,₺3.122,Kadıköy 11.2 km uzaklıkta
Tayhan Hotel,6.7,₺1.187,Kadıköy 10.4 km uzaklıkta
Grand Cevahir Convention Center,7.1,₺4.048,Kadıköy 12.4 km uzaklıkta
Bilinc,6.9,₺1.771,Kadıköy 10.3 km uzaklıkta
Grand Hisar,6.5,₺2.319,Kadıköy 10.7 km uzaklıkta
Depiero Hotel Karakoy,7.3,₺1.686,Kadıköy 10.6 km uzaklıkta
Hotel Buyuk Sahinler,6.4,₺2.056,Kadıköy 10.8 km uzaklıkta
Comfort Elite Beyazit,7.6,₺2.898,Kadıköy 11.0 km uzaklıkta
Barin Hotel,7.5,₺1.591,Kadıköy 11.1 km uzaklıkta
Taksim Palmiye,5.5,₺644,Kadıköy 10.6 km uzaklıkta
Mahya Hotel,8.5,₺2.087,Kadıköy 10.7 km uzaklıkta
Suite Dreams Istanbul Hostel,7.4,₺863,Kadıköy 10.8 km uzaklıkta
Hotel Pera Capitol,7.2,₺4.997,Kadıköy 10.6 km uzaklıkta
Istanbul Town,7.8,₺3.221,Kadıköy 10.6 km uzaklıkta
Euro Plaza,5.6,₺2.727,Kadıköy 10.9 km uzaklıkta
Endican Beyazit Hotel,8.4,₺1.780,Kadıköy 10.4 km uzaklıkta
Ikonik The Public,8.6,₺3.129,Kadıköy 10.5 km uzaklıkta
Green Bird,4.9,₺855,Kadıköy 10.6 km uzaklıkta
Hotel Marmaray,6.7,₺1.403,Kadıköy 11.1 km uzaklıkta
Hotel Pera Tulip,7.1,₺1.380,Kadıköy 10.7 km uzaklıkta
Abel,7.0,₺1.666,Kadıköy 11.0 km uzaklıkta
Nova Plaza Park,6.3,₺2.222,Kadıköy 10.7 km uzaklıkta
The Fox Taksim,7.8,₺2.538,Kadıköy 10.9 km uzaklıkta
Atik Palas,8.1,₺1.939,Kadıköy 11.5 km uzaklıkta
Monaco,7.0,₺2.448,Kadıköy 10.9 km uzaklıkta
Doruk Palas Hotel,9.6,₺3.680,Kadıköy 10.7 km uzaklıkta
The Peraport Hotel,6.4,₺1.082,Kadıköy 10.7 km uzaklıkta
Hotel Shamrock,6.7,₺784,Kadıköy 10.6 km uzaklıkta
Bisetun,6.6,₺1.913,Kadıköy 11.3 km uzaklıkta
Upsuites,8.6,₺2.956,Kadıköy 11.8 km uzaklıkta
Villa Zurich Istanbul,8.9,₺2.387,Kadıköy 10.0 km uzaklıkta
Hotel Istanbul Apartments Istiklal,7.2,₺1.677,Kadıköy 10.2 km uzaklıkta
Historial,6.3,₺2.050,Kadıköy 10.2 km uzaklıkta
Hotel Alphonse,7.8,₺1.333,Kadıköy 10.3 km uzaklıkta
Dosso Dossi Hotels Laleli,7.6,₺1.588,Kadıköy 11.2 km uzaklıkta
Nanda Hotel,6.7,₺1.797,Kadıköy 10.8 km uzaklıkta
Rayelin Hotel Old City,9.1,₺3.924,Kadıköy 11.0 km uzaklıkta
Maya Aparts,6.0,₺2.029,Kadıköy 10.6 km uzaklıkta
House MOLA Galata,8.2,₺1.691,Kadıköy 10.4 km uzaklıkta
Beyzas Suites,6.7,₺1.439,Kadıköy 10.8 km uzaklıkta
BÇ Burhan Çaçan & Spa & Cafe,6.4,₺1.403,Kadıköy 11.1 km uzaklıkta
Istanbul Marriott Hotel Sisli,8.7,₺6.096,Kadıköy 12.2 km uzaklıkta
Tempo Hotel Çağlayan,8.6,₺2.538,Kadıköy 13.3 km uzaklıkta
